Year,Population growth (annual %),"Fertility rate, total (births per woman)",Net migration
1961,1.99918455690026,3.753,24186
1962,1.85988823339904,3.681,26210
1963,1.86284592763531,3.607,40913
1964,1.88571494336137,3.456,58965
1965,1.81016659700882,3.115,103588
1966,1.86281377101388,2.749,135984
1967,1.79935650480125,2.528,124220
1968,1.61340850346382,2.386,103269
1969,1.35978347208384,2.334,85859
1970,1.39783160033129,2.258,295787
1971,2.94819452761436,2.141,196732
1972,1.16084656651465,1.98,75864
1973,1.22261658426849,1.89,110894
1974,1.39602166927373,1.837,143497
1975,1.45942491323998,1.824,130169
1976,1.31580656558804,1.796,93918
1977,1.17025687783266,1.782,53941
1978,0.99545694441135,1.768,38018
1979,0.989698733234704,1.754,65954
1980,1.28959497847156,1.74,101270
1981,1.23339725480528,1.7,89387
1982,1.18962434077573,1.69,64523
1983,0.988487567147771,1.68,33942
1984,0.944034716041094,1.65,24433
1985,0.91377427539001,1.67,39796
1986,0.994040150630969,1.675,94389
1987,1.31816778174498,1.68,141697
1988,1.29662488995999,1.68,207777
1989,1.79419351491939,1.77,223071
1990,1.50766067284807,1.83,145270
1991,1.24276123131684,1.72,127381
1992,1.18367554138942,1.71,123633
1993,1.09893087887878,1.69,129514
1994,1.09525810706129,1.69,132870
1995,1.03476948386834,1.67,137472
1996,1.04531178311831,1.63,150516
1997,0.993788591465188,1.57,140171
1998,0.829909353323744,1.56,126335
1999,0.812842623716166,1.55,143541
2000,0.931281553452429,1.51,201617
2001,1.08635096562717,1.54,224357
2002,1.08744792718674,1.52,206028
2003,0.901372739095955,1.55,182430
2004,0.933020777495183,1.56,193282
2005,0.944466927450734,1.58,204710
2006,1.01033450270045,1.63,202483
2007,0.971135141368055,1.67,210817
2008,1.08290711607014,1.7,237962
2009,1.14175809912162,1.69,240878
2010,1.11186407517168,1.65,227724
2011,0.978697786570341,1.63,228828
2012,1.08581726304756,1.63,245309
2013,1.05659125917789,1.61,242475
2014,1.00533757867378,1.61,195649
2015,0.746339477969813,1.6,232738
2016,1.13234865466606,1.59,320494
2017,1.19952071057872,1.55,361274
2018,1.41245586917998,1.51,417974
2019,1.43613682316886,1.47,391914
2020,1.0737958268224,1.41,195181
2021,0.575421916470359,1.43,195181
